,y,clusters
0,Group 1,1
1,Group 2,0
2,Group 1,0
3,Group 1,0
4,Group 1,3
5,Group 2,0
6,Group 1,0
7,Group 1,0
8,Group 4,0
9,Group 1,0
10,Group 1,0
11,Group 1,0
12,Group 1,0
13,Group 3,0
14,Group 1,1
15,Group 1,2
16,Group 3,0
17,Group 4,0
18,Group 2,1
19,Group 2,0
20,Group 3,0
21,Group 2,0
22,Group 1,0
23,Group 2,0
24,Group 4,0
25,Group 1,2
26,Group 1,2
27,Group 1,0
28,Group 4,0
29,Group 2,0
30,Group 1,0
31,Group 1,3
32,Group 1,0
33,Group 3,0
34,Group 1,0
35,Group 1,0
36,Group 1,1
37,Group 2,0
38,Group 1,0
39,Group 1,0
40,Group 1,1
41,Group 1,0
42,Group 2,0
43,Group 1,3
44,Group 2,1
45,Group 1,0
46,Group 3,0
47,Group 1,0
48,Group 2,0
49,Group 1,0
50,Group 4,2
51,Group 3,3
52,Group 1,0
53,Group 4,0
54,Group 1,0
55,Group 1,0
56,Group 1,1
57,Group 1,1
58,Group 1,0
59,Group 1,0
60,Group 2,0
61,Group 2,0
62,Group 1,3
63,Group 1,0
64,Group 4,0
65,Group 2,0
66,Group 2,0
67,Group 1,1
68,Group 2,0
69,Group 1,0
70,Group 1,0
71,Group 1,0
72,Group 1,3
73,Group 2,0
74,Group 2,0
75,Group 1,1
76,Group 4,0
77,Group 2,0
78,Group 1,0
79,Group 1,0
80,Group 3,1
81,Group 1,0
82,Group 2,0
83,Group 1,0
84,Group 4,0
85,Group 4,0
86,Group 4,0
87,Group 2,1
88,Group 1,2
89,Group 4,0
90,Group 1,0
91,Group 1,0
92,Group 1,0
93,Group 2,0
94,Group 3,1
95,Group 2,0
96,Group 2,0
97,Group 1,0
98,Group 4,0
99,Group 2,0
100,Group 1,1
101,Group 2,0
102,Group 1,1
103,Group 4,0
104,Group 1,0
105,Group 1,1
106,Group 1,1
107,Group 1,1
108,Group 1,0
109,Group 4,0
110,Group 4,0
111,Group 1,0
112,Group 1,1
113,Group 4,0
114,Group 1,0
115,Group 1,0
116,Group 2,0
117,Group 2,0
118,Group 4,0
119,Group 1,0
120,Group 1,3
121,Group 1,0
122,Group 2,0
123,Group 1,0
124,Group 1,2
125,Group 1,1
126,Group 2,0
127,Group 2,0
128,Group 2,3
129,Group 1,1
130,Group 2,0
131,Group 2,0
132,Group 1,0
133,Group 1,0
134,Group 2,0
135,Group 2,0
136,Group 1,0
137,Group 1,0
138,Group 1,2
139,Group 1,1
140,Group 1,0
141,Group 1,0
142,Group 1,0
143,Group 2,0
144,Group 1,1
145,Group 1,0
146,Group 1,0
147,Group 1,2
148,Group 1,0
149,Group 1,0
150,Group 2,0
151,Group 3,0
152,Group 1,0
153,Group 3,0
154,Group 1,0
155,Group 1,0
156,Group 2,0
157,Group 4,3
158,Group 1,0
159,Group 1,0
160,Group 2,0
161,Group 1,0
162,Group 4,0
163,Group 1,0
164,Group 1,1
165,Group 2,2
166,Group 4,3
167,Group 2,0
168,Group 4,0
169,Group 2,1
170,Group 1,0
171,Group 2,0
172,Group 1,0
173,Group 1,0
174,Group 1,0
175,Group 1,0
176,Group 1,0
177,Group 4,0
178,Group 1,0
179,Group 1,2
180,Group 1,0
181,Group 1,0
182,Group 2,0
183,Group 4,0
184,Group 2,0
185,Group 2,0
186,Group 4,0
187,Group 1,0
188,Group 3,0
189,Group 1,0
190,Group 1,0
191,Group 1,0
192,Group 3,0
193,Group 1,0
194,Group 1,1
195,Group 2,0
196,Group 4,0
197,Group 1,0
198,Group 2,0
199,Group 1,3
200,Group 1,0
201,Group 2,3
202,Group 1,0
203,Group 1,0
204,Group 2,0
205,Group 1,0
206,Group 2,0
207,Group 1,0
208,Group 2,0
209,Group 1,0
210,Group 2,3
211,Group 2,3
212,Group 1,0
213,Group 2,0
214,Group 3,0
215,Group 2,0
216,Group 1,0
217,Group 1,0
218,Group 1,0
219,Group 2,0
220,Group 4,0
221,Group 4,0
222,Group 1,1
223,Group 1,0
224,Group 2,0
225,Group 2,0
226,Group 2,0
227,Group 1,0
228,Group 1,0
229,Group 1,1
230,Group 2,0
231,Group 2,0
232,Group 1,2
233,Group 1,0
234,Group 1,1
235,Group 2,2
236,Group 1,0
237,Group 1,0
238,Group 1,0
239,Group 1,0
240,Group 1,0
241,Group 1,1
242,Group 1,0
243,Group 1,0
244,Group 1,0
245,Group 1,0
246,Group 2,0
247,Group 2,0
248,Group 1,0
249,Group 1,0
250,Group 2,0
251,Group 2,0
252,Group 2,0
253,Group 4,0
254,Group 3,1
255,Group 2,1
256,Group 4,0
257,Group 2,0
258,Group 1,0
259,Group 2,3
260,Group 3,0
261,Group 1,0
262,Group 2,0
263,Group 2,0
264,Group 4,0
265,Group 2,0
266,Group 1,0
267,Group 3,3
268,Group 2,2
269,Group 2,1
270,Group 2,0
271,Group 1,0
272,Group 1,0
273,Group 4,0
274,Group 2,0
275,Group 2,0
276,Group 1,0
277,Group 1,2
278,Group 3,0
279,Group 1,0
280,Group 1,0
281,Group 4,0
282,Group 4,0
283,Group 2,0
284,Group 4,0
285,Group 1,1
286,Group 1,1
287,Group 1,0
288,Group 2,0
289,Group 1,1
290,Group 1,2
291,Group 3,0
292,Group 1,1
293,Group 1,0
294,Group 1,0
295,Group 2,2
296,Group 1,1
297,Group 1,0
298,Group 1,0
299,Group 1,0
300,Group 1,0
301,Group 2,0
302,Group 1,0
303,Group 1,0
304,Group 1,0
305,Group 1,0
306,Group 1,1
307,Group 2,0
308,Group 2,0
309,Group 1,0
310,Group 1,2
311,Group 1,0
312,Group 1,0
313,Group 4,0
314,Group 2,0
315,Group 3,0
316,Group 1,0
317,Group 2,0
318,Group 1,1
319,Group 1,0
320,Group 4,0
321,Group 1,0
322,Group 4,0
323,Group 4,0
324,Group 1,2
325,Group 4,0
326,Group 4,0
327,Group 1,0
328,Group 2,0
329,Group 2,0
330,Group 1,0
331,Group 1,1
332,Group 1,0
333,Group 1,0
334,Group 2,0
335,Group 1,2
336,Group 2,0
337,Group 4,0
338,Group 1,1
339,Group 1,1
